fiyat,oda_sayisi,metre_kare,bina_yasi,konut_Satılık Bungalov,konut_Satılık Daire,konut_Satılık Köşk,konut_Satılık Müstakil Ev,konut_Satılık Prefabrik,konut_Satılık Residence,konut_Satılık Villa,konut_Satılık Yazlık,konut_Satılık Çiftlik Evi
3380000,4,180 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985000,2,50 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100000,4,150 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2650000,3,145 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300000,5,350 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4650000,4,170 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100000,3,87 ,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1800000,4,140 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850000,3,105 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875000,4,160 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000000,5,250 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300000,4,170 ,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,3,95 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2890000,4,170 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750000,3,100 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3650000,3,150 ,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2595000,4,150 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,4,220 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2580000,4,165 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,5,220 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700000,4,140 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2590000,3,155 ,17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200000,4,160 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600000,4,160 ,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4750000,5,185 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050000,4,165 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745000,2,55 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2699000,4,175 ,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610000,3,85 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,4,170 ,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7750000,4,220 ,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490000,3,100 ,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2640000,3,130 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650000,4,130 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3750000,3,240 ,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4350000,5,180 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4950000,5,240 ,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,4,200 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4399000,4,160 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4990000,4,404 ,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3500000,3,110 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5950000,8,300 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4250000,4,160 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150000,2,55 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300000,2,70 ,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875000,4,120 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200000,4,180 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2890000,4,140 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000,4,150 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350000,2,55 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100000,4,170 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4125000,4,190 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950000,2,55 ,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1170000,2,60 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3750000,4,188 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275000,2,70 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2650000,4,120 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375000,4,190 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400000,5,205 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000000,6,526 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5250000,5,230 ,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7495000,5,170 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750000,4,175 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,3,400 ,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6999000,5,185 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2560000,4,145 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000000,6,200 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5500000,5,200 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,5,220 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250000,3,90 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,4,180 ,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000,3,88 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400000,5,9.500 ,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8250000,6,248 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4499999,7,275 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000,3,120 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598000,3,90 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,4,170 ,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3498000,4,170 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600000,3,100 ,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2050000,4,150 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5950000,5,210 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6300000,5,175 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,7,260 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600000,4,300 ,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1550000,3,100 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,18,150 ,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250000,4,165 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350000,2,60 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460000,4,155 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7750000,5,240 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598000,4,188 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190000,4,160 ,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6700000,5,220 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6750000,5,300 ,17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400000,3,130 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600000,4,170 ,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2975000,4,175 ,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4350000,5,195 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150000,3,125 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5625000,5,250 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250000,3,80 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6250000,12,300 ,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2750000,3,100 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3175000,4,175 ,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500000,4,250 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000,4,180 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500000,16,520 ,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985000,2,60 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3650000,4,155 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900000,4,160 ,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1450000,3,100 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700000,6,3.000 ,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
985000,2,40 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4250000,4,145 ,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400000,4,125 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2650000,3,90 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400000,3,100 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4650000,4,170 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735000,3,105 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550000,2,95 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900000,4,500 ,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2689000,4,180 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650000,2,70 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6250000,4,193 ,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5455000,5,220 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170000,2,60 ,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000000,6,300 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100000,3,120 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4999999,4,175 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3750000,4,190 ,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
